label,time_s,polymerization_rate,efficiency,particle_radius_m,thiele_modulus,polymer_mass_g
kp=250,11470.764717647844,448.35333933662105,0.9999984421405863,5.353414630965809e-06,0.0016113525377684673,7.389837057549886e-10
kp=250,11471.764784318955,448.2188447707397,0.9999984425902602,5.353432340078849e-06,0.001611108171303031,7.38991040207723e-10
kp=250,11472.764850990066,448.08439053026143,0.9999984430826506,5.3534500437624955e-06,0.0016108638427224408,7.389983724603083e-10
kp=250,11473.764917661178,447.94997661546057,0.9999984435070736,5.353467742018451e-06,0.0016106195520204367,7.390057025134045e-10
kp=250,11474.764984332289,447.81560302660336,0.9999984440064434,5.353485434848414e-06,0.0016103752991907588,7.390130303676713e-10
kp=250,11475.7650510034,447.6812697639453,0.9999984444930123,5.353503122254086e-06,0.0016101310842271516,7.390203560237687e-10
kp=250,11476.765117674511,447.54697677604605,0.9999984449712224,5.353520804237166e-06,0.0016098869071233574,7.390276794823557e-10
kp=250,11477.765184345624,447.4127240941374,0.9999984454223683,5.353538480799352e-06,0.0016096427678731213,7.390350007440919e-10
kp=250,11478.765251016735,447.27851166673435,0.9999984458970189,5.353556151942342e-06,0.0016093986664701893,7.390423198096359e-10
kp=250,11479.765317687847,447.144339514707,0.999998446353274,5.353573817667835e-06,0.0016091546029083094,7.390496366796469e-10
kp=250,11480.765384358958,447.01020758652294,0.9999984468416725,5.3535914779775245e-06,0.0016089105771812293,7.390569513547829e-10
kp=250,11481.765451030069,446.8761159237149,0.9999984473201922,5.353609132873111e-06,0.0016086665892826994,7.390642638357029e-10
kp=250,11482.76551770118,446.7420644643648,0.9999984477698566,5.353626782356288e-06,0.0016084226392064698,7.390715741230648e-10
kp=250,11483.765584372291,446.6080532292935,0.999998448241117,5.353644426428752e-06,0.0016081787269462938,7.390788822175267e-10
kp=250,11484.765651043403,446.4740821772247,0.9999984487381095,5.353662065092196e-06,0.0016079348524959246,7.390861881197464e-10
kp=250,11485.765717714514,446.34015133931064,0.9999984491953565,5.353679698348316e-06,0.0016076910158491157,7.390934918303817e-10
kp=250,11486.765784385627,446.20626065353173,0.9999984496632254,5.353697326198805e-06,0.001607447216999624,7.391007933500896e-10
kp=250,11487.765851056738,446.07241015101556,0.9999984501224911,5.353714948645357e-06,0.0016072034559412073,7.391080926795277e-10
kp=250,11488.76591772785,445.9385997800485,0.9999984506235244,5.353732565689663e-06,0.0016069597326676215,7.391153898193528e-10
kp=250,11489.76598439896,445.804829561381,0.9999984510540908,5.353750177333415e-06,0.0016067160471726282,7.391226847702218e-10
kp=250,11490.766051070072,445.6710994639682,0.9999984515574085,5.353767783578307e-06,0.0016064723994499873,7.391299775327914e-10
kp=250,11491.766117741183,445.5374094774613,0.9999984520210985,5.353785384426026e-06,0.0016062287894934603,7.391372681077178e-10
kp=250,11492.766184412294,445.403759612219,0.999998452472123,5.353802979878266e-06,0.001605985217296811,7.391445564956575e-10
kp=250,11493.766251083405,445.2701498164121,0.9999984529607319,5.353820569936714e-06,0.0016057416828538034,7.391518426972664e-10
kp=250,11494.766317754516,445.13658012109767,0.9999984533974898,5.353838154603061e-06,0.001605498186158203,7.391591267132004e-10
kp=250,11495.76638442563,445.00305048476883,0.9999984538791401,5.353855733878995e-06,0.0016052547272037763,7.391664085441153e-10
kp=250,11496.76645109674,444.8695609177309,0.9999984543627036,5.353873307766204e-06,0.001605011305984292,7.391736881906665e-10
kp=250,11497.766517767852,444.73611136805914,0.9999984548050791,5.353890876266377e-06,0.001604767922493518,7.39180965653509e-10
kp=250,11498.766584438963,444.6027018563967,0.999998455279686,5.353908439381198e-06,0.0016045245767252266,7.391882409332979e-10
kp=250,11499.766651110074,444.46933237226756,0.9999984557433335,5.353925997112357e-06,0.0016042812686731878,7.391955140306882e-10
kp=250,11500.766717781185,444.33600288442756,0.9999984562227588,5.353943549461537e-06,0.0016040379983311745,7.392027849463344e-10
kp=250,11501.766784452297,444.2027134134911,0.9999984566746126,5.353961096430426e-06,0.0016037947656929615,7.392100536808913e-10
kp=250,11502.766851123408,444.0694639074229,0.9999984571489168,5.353978638020707e-06,0.0016035515707523236,7.392173202350128e-10
kp=250,11503.76691779452,443.93625438681113,0.9999984576723522,5.353996174234065e-06,0.0016033084135030364,7.392245846093533e-10
kp=250,11504.766984465632,443.80308479957074,0.9999984581312384,5.354013705072182e-06,0.0016030652939388788,7.392318468045663e-10
kp=250,11505.767051136743,443.6699551870306,0.9999984585754748,5.354031230536745e-06,0.001602822212053629,7.392391068213058e-10
kp=250,11506.767117807854,443.53686549706663,0.9999984590550082,5.3540487506294335e-06,0.0016025791678410668,7.392463646602252e-10
kp=250,11507.767184478966,443.4038157190608,0.999998459479271,5.3540662653519295e-06,0.0016023361612949741,7.392536203219775e-10
kp=250,11508.767251150077,443.2708058839343,0.9999984599918507,5.354083774705916e-06,0.0016020931924091333,7.392608738072163e-10
kp=250,11509.767317821188,443.1378359291059,0.9999984604317428,5.3541012786930744e-06,0.0016018502611773273,7.392681251165942e-10
kp=250,11510.7673844923,443.0049058542972,0.9999984609190904,5.3541187773150835e-06,0.0016016073675933415,7.392753742507638e-10
kp=250,11511.76745116341,442.8720156800086,0.9999984613864671,5.354136270573624e-06,0.0016013645116509617,7.392826212103781e-10
kp=250,11512.767517834523,442.73916535397535,0.9999984618601905,5.354153758470376e-06,0.0016011216933439752,7.39289865996089e-10
kp=250,11513.767584505635,442.6063548758771,0.9999984623196028,5.354171241007017e-06,0.001600878912666171,7.392971086085487e-10
kp=250,11514.767651176746,442.47358422458734,0.9999984627439645,5.354188718185225e-06,0.0016006361696113381,7.393043490484088e-10
kp=250,11515.767717847857,442.3408534309554,0.9999984632300025,5.354206190006679e-06,0.0016003934641732678,7.393115873163215e-10
kp=250,11516.767784518968,442.208162442629,0.9999984636864045,5.354223656473056e-06,0.0016001507963457522,7.393188234129383e-10
kp=250,11517.76785119008,442.07551123842336,0.999998464186373,5.354241117586031e-06,0.001599908166122585,7.393260573389101e-10
kp=250,11518.76791786119,441.9428998595612,0.9999984646148531,5.354258573347283e-06,0.0015996655734975588,7.393332890948886e-10
kp=250,11519.767984532302,441.81032823280896,0.999998465092069,5.354276023758485e-06,0.0015994230184644715,7.393405186815242e-10
kp=250,11520.768051203413,441.67779639936776,0.9999984655734693,5.354293468821312e-06,0.0015991805010171192,7.393477460994682e-10
kp=250,11521.768117874526,441.5453042963598,0.9999984660379547,5.35431090853744e-06,0.0015989380211492987,7.393549713493707e-10
kp=250,11522.768184545637,441.4128519441463,0.999998466487917,5.354328342908542e-06,0.0015986955788548122,7.393621944318821e-10
kp=250,11523.768251216748,441.2804393422696,0.9999984669493152,5.354345771936291e-06,0.0015984531741274576,7.393694153476529e-10
kp=250,11524.76831788786,441.1480664381863,0.9999984674008875,5.354363195622361e-06,0.0015982108069610376,7.393766340973327e-10
kp=250,11525.76838455897,441.01573325222716,0.9999984678921436,5.354380613968423e-06,0.0015979684773493555,7.393838506815715e-10
kp=250,11526.768451230082,440.8834397734716,0.9999984683781226,5.354398026976149e-06,0.0015977261852862148,7.393910651010189e-10
kp=250,11527.768517901193,440.7511859597251,0.9999984688137374,5.354415434647211e-06,0.0015974839307654205,7.39398277356324e-10
kp=250,11528.768584572304,440.618971831284,0.9999984692720217,5.354432836983278e-06,0.00159724171378078,7.394054874481362e-10
kp=250,11529.768651243417,440.4867973667572,0.9999984697551163,5.354450233986022e-06,0.0015969995343260996,7.394126953771047e-10
kp=250,11530.768717914529,440.35466254473107,0.9999984702177726,5.354467625657111e-06,0.00159675739239519,7.39419901143878e-10
kp=250,11531.76878458564,440.22256735419575,0.9999984706856642,5.354485011998215e-06,0.0015965152879818608,7.394271047491047e-10
kp=250,11532.768851256751,440.09051179455236,0.9999984711607726,5.354502393011001e-06,0.0015962732210799226,7.394343061934332e-10
kp=250,11533.768917927862,439.958495833906,0.9999984715739245,5.354519768697138e-06,0.001596031191683188,7.394415054775116e-10
kp=250,11534.768984598973,439.8265195029158,0.999998472069206,5.354537139058293e-06,0.0015957891997854718,7.394487026019883e-10
kp=250,11535.769051270085,439.6945827383608,0.9999984725536684,5.354554504096133e-06,0.0015955472453805877,7.394558975675108e-10
kp=250,11536.769117941196,439.5626855708767,0.9999984729816155,5.3545718638123246e-06,0.0015953053284623521,7.39463090374727e-10
kp=250,11537.769184612307,439.4308279371892,0.9999984734497105,5.354589218208533e-06,0.0015950634490245821,7.394702810242839e-10
kp=250,11538.76925128342,439.29900989922146,0.9999984739121947,5.354606567286423e-06,0.0015948216070610967,7.394774695168294e-10
kp=250,11539.769317954531,439.16723136234367,0.999998474394488,5.3546239110476595e-06,0.001594579802565715,7.394846558530099e-10
kp=250,11540.769384625642,439.03549237802457,0.9999984748506723,5.354641249493907e-06,0.001594338035532259,7.394918400334725e-10
kp=250,11541.769451296754,438.90379292466116,0.9999984753060711,5.3546585826268294e-06,0.0015940963059545496,7.394990220588642e-10
kp=250,11542.769517967865,438.7721329597408,0.9999984757622085,5.354675910448089e-06,0.00159385461382641,7.395062019298311e-10
kp=250,11543.769584638976,438.6405124824952,0.9999984762681868,5.3546932329593476e-06,0.0015936129591416664,7.395133796470193e-10
kp=250,11544.769651310087,438.50893149214835,0.9999984767063934,5.354710550162268e-06,0.0015933713418941422,7.39520555211075e-10
kp=250,11545.769717981198,438.37738998791326,0.9999984771496263,5.354727862058512e-06,0.0015931297620776653,7.395277286226444e-10
kp=250,11546.76978465231,438.24588793764326,0.9999984775992358,5.35474516864974e-06,0.001592888219686064,7.395348998823731e-10
