n,M_g_per_mol,weight_fraction,Mn,Mw,PDI
163,4572.150000000001,2.2778507797859925e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
164,4600.2,2.2917794777356407e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
165,4628.25,2.3057076175017715e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
166,4656.3,2.3196351991011456e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
167,4684.35,2.333562222550537e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
168,4712.400000000001,2.3474886878666817e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
169,4740.45,2.361414595066355e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
170,4768.5,2.3753399441663225e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
171,4796.55,2.3892647351832994e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
172,4824.6,2.4031889681340755e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
173,4852.650000000001,2.417112643035398e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
174,4880.7,2.4310357599040204e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
175,4908.75,2.4449583187567122e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
176,4936.8,2.4588803196101828e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
177,4964.85,2.472801762481237e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
178,4992.900000000001,2.48672264738659e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
179,5020.95,2.5006429743430323e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
180,5049.0,2.5145627433672867e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
181,5077.05,2.5284819544761075e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
182,5105.1,2.5424006076862455e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
183,5133.150000000001,2.5563187030144667e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
184,5161.2,2.5702362404775116e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
185,5189.25,2.5841532200921223e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
186,5217.3,2.5980696418750596e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
187,5245.35,2.6119855058430747e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
188,5273.400000000001,2.625900812012903e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
189,5301.45,2.639815560401309e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
190,5329.5,2.6537297510250236e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
191,5357.55,2.6676433839007895e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
192,5385.6,2.681556459045399e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
193,5413.650000000001,2.6954689764755366e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
194,5441.7,2.709380936207984e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
195,5469.75,2.7232923382594646e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
196,5497.8,2.7372031826467496e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
197,5525.85,2.7511134693865785e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
198,5553.900000000001,2.7650231984956725e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
199,5581.95,2.7789323699908166e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
200,5610.0,2.792840983888703e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
201,5638.05,2.8067490402061265e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
202,5666.1,2.820656538959767e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
203,5694.150000000001,2.8345634801664217e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
204,5722.2,2.8484698638428177e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
205,5750.25,2.8623756900056887e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
206,5778.3,2.8762809586717514e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
207,5806.35,2.890185669857815e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
208,5834.400000000001,2.904089823580549e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
209,5862.45,2.917993419856726e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
210,5890.5,2.9318964587030758e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
211,5918.55,2.9457989401363225e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
212,5946.6,2.9597008641732373e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
213,5974.650000000001,2.9736022308305446e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
214,6002.7,2.987503040124966e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
215,6030.75,3.0014032920732394e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
216,6058.8,3.015302986692129e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
217,6086.85,3.0292021239983557e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
218,6114.900000000001,3.043100704008636e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
219,6142.95,3.0569987267397193e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
220,6171.0,3.0708961922083467e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
221,6199.05,3.084793100431241e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
222,6227.1,3.0986894514251403e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
223,6255.150000000001,3.1125852452067656e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
224,6283.2,3.126480481792888e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
225,6311.25,3.1403751612001903e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
226,6339.3,3.1542692834454255e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
227,6367.35,3.1681628485453163e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
228,6395.400000000001,3.182055856516633e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
229,6423.45,3.1959483073760612e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
230,6451.5,3.2098402011403396e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
231,6479.55,3.223731537826195e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
232,6507.6,3.2376223174503874e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
233,6535.650000000001,3.2515125400295766e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
234,6563.7,3.265402205580582e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
235,6591.75,3.279291314120059e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
236,6619.8,3.2931798656647652e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
237,6647.85,3.307067860231431e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
238,6675.900000000001,3.3209552978367563e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
239,6703.95,3.3348421784974935e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
240,6732.0,3.3487285022303625e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
241,6760.05,3.362614269052074e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
